customer_id,customer_identifier_hash,first_name,last_name,date_of_birth,gender,province,email_masked,mobile_masked,bank_name,account_type,is_verified,created_at,is_repeat_customer,employment_status,net_income_zar
1,1D4FC1A3A3AC,Gareth,Dlamini,1966-12-09,M,Western Cape,gar***@gmail.com,+27 85 8****,Standard Bank,Savings,0,2025-05-15 17:17:09,1,,11955.94
2,AEB1B4B0F706,Liesl,Mahlangu,,Non-binary,Mpumalanga,lie***@outlook.com,+27 72 9****,Standard Bank,savings,1,2024-03-05 15:44:59,0,employed,45060.49
3,FB9F5D14D693,Nkosi,Khumalo,1982-11-23,Male,Free State,nko***@yahoo.co.za,+27 82 5****,FNB,savings,1,2026-04-10 19:23:14,1,employed,61683.66
4,AB48D76DFB5B,Nadine,Vermeulen,1975-11-14,M,Western Cape,nad***@yahoo.co.za,+27 78 2****,,savings,0,2025-11-05 10:55:40,0,,50672.77
5,7BE1287AF38C,lerato,Langa,1998-01-20,Non-binary,Eastern Cape,ler***@webmail.co.za,+27 83 8****,Standard Bank,Cheque,1,2025-05-16 13:59:34,1,EMPLOYED,79636.2
6,0986CEBF81C0,Nkosi,Du Plessis,1993-02-08,Male,Western Cape,nko***@icloud.com,+27 85 5****,TymeBank,CHEQUE,1,2025-04-13 13:06:06,0,Unemployed,40026.85
7,225323D4CDC0,Nokwanda,Vermeulen,1971-01-13,Female,Limpopo,,+27 83 9****,Discovery Bank,Cheque,1,2024-03-13 19:57:03,1,,34281.63
8,8EB900FF4D59,Nkosi,Hendricks,1992-12-24,Male,Northern Cape,nko***@icloud.com,+27 83 2****,Capitec,Savings,0,2025-04-06 10:56:36,1,employed,51453.61
9,1270DCCAC73D,Deon,Coetzee,1998-06-09,Non-binary,,deo***@gmail.com,+27 83 3****,Capitec,savings,1,2026-01-17 16:39:51,0,EMPLOYED,27453.41
10,4DE515199CE0,Nadine,Botha,1972-02-24,F,Northern Cape,nad***@webmail.co.za,+27 71 1****,TymeBank,Cheque,1,2025-05-25 07:07:04,1,,32691.2
11,2A5F6BEC8F0A,Sarah,Jacobs,1967-05-12,Female,Mpumalanga,sar***@outlook.com,+27 74 9****,Discovery Bank,,1,2025-04-23 14:17:10,0,Pensioner,69394.49
12,0C106E5B,Nkosi,De Villiers,1984-04-08,Non-binary,Northern Cape,nko***@gmail.com,,Nedbank,savings,1,2023-08-25 19:57:36,1,,37704.31
13,E1E19D6B21EC,Nomsa,Mabunda,1977-06-14,F,Northern Cape,nom***@yahoo.co.za,+27 74 5****,FNB,savings,1,2024-09-14 16:13:27,0,Pensioner,55672.04
14,3F10FCA8A22A,Priya,Sithole,1970-05-17,Non-binary,Eastern Cape,pri***@icloud.com,+27 72 5****,Nedbank,CHEQUE,0,2023-10-30 07:57:48,0,,18191.5
15,76CF6F016636,Francois,Mthembu,1968-09-08,M,North West,fra***@icloud.com,+27 73 8****,Discovery Bank,savings,1,2025-09-19 14:17:28,0,EMPLOYED,25378.63
16,0D7ED2A8EE4E,Nomsa,Petersen,1973-03-08,Prefer not to say,Eastern Cape,nom***@gmail.com,,Absa,CHEQUE,1,2026-01-07 14:31:14,0,Pensioner,34164.29
17,44369B35FE0C,Mandla,Pillay,1975-08-05,Male,KwaZulu-Natal,man***@webmail.co.za,+27 82 4****,Standard Bank,CHEQUE,1,2025-08-21 07:47:34,0,Unemployed,10146.38
18,67AA0A2B,Michael,Mokoena,1980-04-27,Female,Limpopo,mic***@gmail.com,+27 73 4****,Absa,CHEQUE,0,2023-06-05 14:06:44,0,,65414.6
19,A71CFE4D8F13,Deon,Daniels,,Prefer not to say,Gauteng,deo***@outlook.com,+27 83 7****,Nedbank,CHEQUE,1,2024-07-03 17:54:15,0,Unemployed,23289.76
20,4F42F80B00C4,Palesa,Mabunda,1989-06-01,Non-binary,Limpopo,pal***@outlook.com,+27 82 6****,TymeBank,CHEQUE,1,2024-08-25 14:25:44,1,Unemployed,32676.53
21,2EA0CFC12D27,Liesl,Arendse,2000-06-12,Male,KwaZulu-Natal,lie***@icloud.com,+27 83 7****,Discovery Bank,Cheque,1,2023-01-29 11:17:02,0,employed,75806.72
22,7B313726F8AD,Amina,Dlamini,,Prefer not to say,Gauteng,ami***@gmail.com,+27 84 4****,Capitec,CHEQUE,1,2024-04-07 19:28:58,0,Unemployed,79252.34
23,60F9C06F25C8,Palesa,Daniels,2004-12-04,Female,,,+27 76 8****,,Cheque,1,2024-02-10 20:07:34,1,EMPLOYED,24922.44
24,1396E600373B,Michael,Sithole,1984-10-24,Prefer not to say,Northern Cape,mic***@gmail.com,,FNB,Savings,1,2026-03-26 08:48:48,1,Pensioner,38167.21
25,9AEB3703411A,Deon,Arendse,1996-02-16,F,Free State,deo***@gmail.com,+27 78 2****,Discovery Bank,CHEQUE,0,2025-11-27 18:39:48,0,EMPLOYED,8870.88
26,E06C17623DD7,Nadine,Hendricks,1993-12-16,,Free State,nad***@outlook.com,+27 76 6****,Standard Bank,Cheque,0,2025-02-24 13:58:38,1,,62950.63
